sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,peak_x_um,peak_y_um,peak_intensity_counts,total_power_mW
113,2026-06-25T15:37:52.984270,26.0,26.01,-607.7939853226417,98.75696119095664,-599.8499822616577,-1406.0999584197998,255.0,0.0008353625469578261
114,2026-06-25T15:37:54.963577,28.0,26.01,-604.4430088592344,98.58216871565674,-715.9499788284302,-1406.0999584197998,255.0,0.0008355559136401449
115,2026-06-25T15:37:56.673594,30.0,30.01,-601.0936071028118,98.28494277229765,-638.5499811172485,-1406.0999584197998,255.0,0.0008355126132267783
116,2026-06-25T15:37:58.449018,32.0,32.01,-597.6150793736451,98.49516615475295,-638.5499811172485,-1406.0999584197998,255.0,0.000835426752942264
117,2026-06-25T15:38:00.317170,34.0,32.01,-594.3534675316187,98.42902846139623,-599.8499822616577,-1406.0999584197998,255.0,0.0008353797903661055
118,2026-06-25T15:38:01.935188,36.0,34.01,-590.7123513062834,98.72310499078594,-606.2999820709229,-1412.549958229065,255.0,0.0008354458322429489
119,2026-06-25T15:38:03.709320,38.0,38.02,-586.7192880698713,98.41643080551876,-335.3999900817871,-1444.7999572753906,255.0,0.0008353911638727551
120,2026-06-25T15:38:05.847470,40.0,38.02,-583.3750041111489,98.407769917103,-606.2999820709229,-1412.549958229065,255.0,0.0008353009138551426
121,2026-06-25T15:38:08.268231,42.0,42.02,-579.9043499169056,98.53768324333942,-606.2999820709229,-1412.549958229065,255.0,0.0008352866068209422
122,2026-06-25T15:38:10.214225,44.0,44.02,-576.0833234185702,98.3861176960636,-606.2999820709229,-1412.549958229065,255.0,0.0008352888078871762
123,2026-06-25T15:38:12.206514,46.0,44.02,-572.3681959649548,98.17431960662361,-606.2999820709229,-1412.549958229065,255.0,0.0008353570438173419
124,2026-06-25T15:38:14.217020,48.0,46.02,-568.3192306305864,98.37824416114017,-335.3999900817871,-1444.7999572753906,255.0,0.0008353122862879063
125,2026-06-25T15:38:16.352669,50.0,48.02,-564.4942673647893,98.42706007766537,-335.3999900817871,-1444.7999572753906,255.0,0.0008352279138608688
126,2026-06-25T15:38:18.583096,48.0,48.02,-563.9407578596729,98.34871840517735,-335.3999900817871,-1444.7999572753906,255.0,0.0008354542713033907
127,2026-06-25T15:38:21.887151,46.0,48.02,-566.0024429793702,98.6557862671907,-386.9999885559082,-1451.2499570846558,255.0,0.0008354561058930277
128,2026-06-25T15:38:25.228807,44.0,46.02,-567.9373641868006,98.3711579797091,-335.3999900817871,-1444.7999572753906,255.0,0.000835427853659306
129,2026-06-25T15:38:28.824921,42.0,44.02,-570.4246138691087,98.68137525569182,-335.3999900817871,-1444.7999572753906,255.0,0.0008356715147179477
130,2026-06-25T15:38:32.997291,40.0,42.02,-572.8642286651302,98.71444410237018,-606.2999820709229,-1412.549958229065,255.0,0.0008355918767061493
131,2026-06-25T15:38:36.622063,38.0,40.02,-575.7357068517013,98.6640534788603,-335.3999900817871,-1444.7999572753906,255.0,0.0008355948125349751
132,2026-06-25T15:38:40.314219,36.0,38.02,-578.5658489799243,98.67547010449925,-335.3999900817871,-1444.7999572753906,255.0,0.0008355786656040805
133,2026-06-25T15:38:44.125935,34.0,36.01,-581.374338887108,98.29163527698256,-335.3999900817871,-1444.7999572753906,255.0,0.000835421616281911
134,2026-06-25T15:38:48.203533,32.0,32.01,-584.130469787051,98.66995863005286,-335.3999900817871,-1444.7999572753906,255.0,0.0008355485744290948
